Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Property Age,Tenure Type Encoded,Property Type Encoded,Land Title Encoded,Transit Zone,Facility Count,Facility Tier,State_Kedah,State_Kelantan,State_Kuala Lumpur,State_Melaka,State_Negeri Sembilan,State_Other,State_Pahang,State_Penang,State_Perak,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Terengganu,price
3.0,2.0,929.0,20.0,462.0,2.0,12.0,0,0,1,0,7,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,290000.0
3.0,3.0,1515.0,15.0,198.0,1.0,28.0,1,1,2,1,13,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,550000.0
3.0,2.0,1350.0,20.0,809.0,2.0,6.0,1,5,2,0,9,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,548000.0
3.0,2.0,1065.0,4.0,462.0,1.0,12.0,1,5,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,350000.0
2.0,2.0,876.0,20.0,462.0,1.0,12.0,0,1,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,350000.0
3.0,2.0,1066.0,20.0,414.0,2.0,12.0,1,1,2,1,7,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,560000.0
1.0,1.0,678.0,27.0,303.0,1.0,12.0,0,1,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,245000.0
3.0,2.0,850.0,12.0,1012.0,1.0,12.0,0,0,2,0,7,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,298000.0
3.0,2.0,753.0,42.0,150.0,2.0,6.0,1,5,2,0,10,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,650000.0
6.0,5.0,2747.0600000000027,20.0,462.0,1.0,12.0,1,4,2,1,5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1095000.0
3.0,2.0,1001.0,20.0,462.0,1.0,12.0,1,0,2,0,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,200000.0
3.0,3.0,1654.0,15.0,198.0,2.0,28.0,1,1,2,1,11,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,437400.0
3.0,3.0,1668.0,20.0,462.0,2.0,12.0,1,1,2,0,11,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,620000.0
3.0,2.0,861.0,20.0,462.0,1.0,12.0,1,0,1,0,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,290000.0
3.0,2.0,1053.0,5.0,469.0,2.0,10.0,1,0,2,1,5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,225500.0
3.0,2.0,1081.0,23.0,284.0,2.0,15.0,1,1,2,1,10,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,465500.0
3.0,2.0,900.0,20.0,290.0,1.0,23.0,1,1,2,1,8,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,250000.0
2.0,2.0,1100.0,30.0,462.0,3.0,13.0,1,5,2,0,5,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,850000.0
3.0,2.0,1011.0,23.0,744.0,2.0,12.0,1,5,2,1,10,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,300000.0
3.0,2.0,1190.0,10.0,462.0,1.0,24.0,1,1,1,1,8,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,488000.0
3.0,2.0,850.0,10.0,65.0,1.0,12.0,0,5,2,0,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,335000.0
1.0,1.0,450.0,26.0,319.0,1.0,4.0,1,5,2,1,10,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,368000.0
3.0,2.0,818.0,44.0,2136.0,1.0,5.0,0,5,2,1,8,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,340000.0
3.0,2.0,850.0,16.0,488.0,1.0,28.0,0,1,2,0,13,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,447000.0
3.0,2.0,950.0,31.0,4225.0,2.0,11.0,1,5,2,1,4,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,450000.0
